Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.42     0.00       19     0.00     0.00  std::_Vector_base<NominalFeature, std::allocator<NominalFeature> >::_Vector_base()
  0.00      0.42     0.00       19     0.00     0.00  std::_Vector_base<NominalFeature, std::allocator<NominalFeature> >::~_Vector_base()
  0.00      0.42     0.00       19     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_impl::_Vector_impl()
  0.00      0.42     0.00       19     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_Vector_base()
  0.00      0.42     0.00       19     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::~_Vector_base()
  0.00      0.42     0.00       19     0.00     0.00  std::deque<int, std::allocator<int> >::deque(std::deque<int, std::allocator<int> >&&)
  0.00      0.42     0.00       19     0.00     0.00  std::deque<int, std::allocator<int> >::deque()
  0.00      0.42     0.00       19     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::stack(std::deque<int, std::allocator<int> >&&)
  0.00      0.42     0.00       19     0.00     0.00  std::vector<NominalFeature, std::allocator<NominalFeature> >::vector()
  0.00      0.42     0.00       19     0.00     0.00  std::vector<NominalFeature, std::allocator<NominalFeature> >::~vector()
  0.00      0.42     0.00       19     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::vector()
  0.00      0.42     0.00       19     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::~vector()
  0.00      0.42     0.00       19     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_maximum(std::_Rb_tree_node_base*)
  0.00      0.42     0.00       19     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_S_minimum(std::_Rb_tree_node_base*)
